City,State,Score
Albuquerque, NM,63
Atlanta, GA,76.3
Austin, TX,66.3
Baltimore, MD,71.6
Boise, ID,66.5
Boston, MA,85.4
Buffalo, NY,72.1
Charlotte, NC,70.2
Chicago, IL,76.4
Cincinnati, OH,62.6
Cleveland, OH,65.2
Colorado Springs, CO,72.7
Columbus, OH,69.6
Dallas, TX,70.7
Denver, CO,75.7
Detroit, MI,68.4
Greenville, SC,76.2
Honolulu, HI,94.9
Houston, TX,64.8
Indianapolis, IN,69.3
Jacksonville, FL,65.3
Kansas City, MO,66.9
Las Vegas, NV,68.2
Los Angeles, CA,81.5
Louisville, KY,63.7
Madison, WI,68.9
Miami, FL,79.6
Milwaukee, WI,65.7
Minneapolis, MN,72
Nashville, TN,68.3
New Orleans, LA,76.5
New York, NY,100
Ocala, FL,67.2
Orlando, FL,69.5
Philadelphia, PA,76.8
Phoenix, AZ,71.2
Pittsburgh, PA,69.5
Portland, OR,76.2
Raleigh, NC,68.6
Richmond, VA,69.8
Sacramento, CA,79.8
Saint Louis, MO,71.6
Salt Lake City, UT,66.4
San Antonio, TX,63.3
San Diego, CA,82.3
San Francisco, CA,96.6
San Jose, CA,86.5
Seattle, WA,91.3
Spokane, WA,72.4
Tampa, FL,70.2
Tucson, AZ,65.3
Washington, DC,86.3
Wichita, KS,65.4
